Exercise Name,Body Part,Equipment,Category,Is Complex,Reasons
"suspended push-up","chest","body weight","UNCLEAR","false",""
"suspended reverse crunch","waist","body weight","UNCLEAR","false",""
"suspended row","back","body weight","UNCLEAR","false",""
"suspended split squat","upper legs","body weight","UNCLEAR","false",""
"triceps dip (bench leg)","upper arms","body weight","UNCLEAR","false",""
"triceps dip (between benches)","upper arms","body weight","UNCLEAR","false",""
"triceps dip","upper arms","body weight","UNCLEAR","false",""
"triceps dips floor","upper arms","body weight","UNCLEAR","false",""
"triceps press","upper arms","body weight","UNCLEAR","false",""
"triceps stretch","upper arms","body weight","REHAB/PREHAB","false","Contains: stretch"
"vertical leg raise (on parallel bars)","waist","body weight","UNCLEAR","true","Complex name: too many words"
"wind sprints","waist","body weight","UNCLEAR","false",""
"lying leg-hip raise","waist","body weight","UNCLEAR","false",""
"butt-ups","waist","body weight","UNCLEAR","false",""
"tuck crunch","waist","body weight","UNCLEAR","false",""
"reverse crunch","waist","body weight","UNCLEAR","false",""
"band alternating biceps curl","upper arms","band","UNCLEAR","false",""
"band alternating v-up","waist","band","UNCLEAR","false",""
"band assisted wheel rollerout","waist","band","UNCLEAR","false",""
"band bicycle crunch","waist","band","FITNESS/HYPERTROPHY","false","Contains: bicycle"
"band close-grip pulldown","back","band","UNCLEAR","false",""
"band close-grip push-up","upper arms","band","UNCLEAR","false",""
"band concentration curl","upper arms","band","UNCLEAR","false",""
"band front lateral raise","shoulders","band","UNCLEAR","false",""
"band front raise","shoulders","band","UNCLEAR","false",""
"band horizontal pallof press","waist","band","UNCLEAR","false",""
"band bent-over hip extension","upper legs","band","UNCLEAR","false",""
"band jack knife sit-up","waist","band","UNCLEAR","false",""
"band lying hip internal rotation","upper legs","band","REHAB/PREHAB","false","Contains: internal rotation"
"band kneeling twisting crunch","waist","band","UNCLEAR","false",""
"band pull through","upper legs","band","UNCLEAR","false",""
"band push sit-up","waist","band","UNCLEAR","false",""
"band reverse fly","shoulders","band","REHAB/PREHAB","false","Contains: band reverse fly"
"band reverse wrist curl","lower arms","band","UNCLEAR","false",""
"band seated hip internal rotation","upper legs","band","REHAB/PREHAB","false","Contains: internal rotation"
"band shoulder press","shoulders","band","UNCLEAR","false",""
"band side triceps extension","upper arms","band","UNCLEAR","false",""
"band single leg calf raise","lower legs","band","REHAB/PREHAB","false","Contains: calf raise"
"band single leg reverse calf raise","lower legs","band","REHAB/PREHAB","true","Contains: calf raise | Complex name: too many words"
"band single leg split squat","upper legs","band","UNCLEAR","false",""
"band lying straight leg raise","waist","band","UNCLEAR","false",""
"band squat row","upper legs","band","UNCLEAR","false",""
"band squat","upper legs","band","UNCLEAR","false",""
"band standing crunch","waist","band","UNCLEAR","false",""
"band standing twisting crunch","waist","band","UNCLEAR","false",""
"band step-up","upper legs","band","UNCLEAR","false",""
"band stiff leg deadlift","upper legs","band","UNCLEAR","false",""
"band straight leg deadlift","back","band","UNCLEAR","false",""
"band seated twist","waist","band","UNCLEAR","false",""
"band twisting overhead press","shoulders","band","UNCLEAR","false",""
"band underhand pulldown","back","band","UNCLEAR","false",""
"band v-up","waist","band","UNCLEAR","false",""
"band vertical pallof press","waist","band","UNCLEAR","false",""
"band wrist curl","lower arms","band","REHAB/PREHAB","false","Contains: band wrist"
"band y-raise","shoulders","band","REHAB/PREHAB","false","Contains: band y-raise"
"band shrug","back","band","UNCLEAR","false",""
"band standing rear delt row","shoulders","band","UNCLEAR","false",""
"band straight back stiff leg deadlift","upper legs","band","UNCLEAR","true","Complex name: too many words"
"dynamic chest stretch (male)","chest","body weight","REHAB/PREHAB","true","Contains: stretch | Complex name: (male)"
"band bench press","chest","band","UNCLEAR","false",""
"chest and front of shoulder stretch","chest","body weight","REHAB/PREHAB","true","Contains: stretch | Complex name: too many words"
"clap push up","chest","body weight","UNCLEAR","false",""
"drop push up","chest","body weight","UNCLEAR","false",""
"isometric chest squeeze","chest","body weight","UNCLEAR","false",""
"plyo push up","chest","body weight","UNCLEAR","false",""
"wide hand push up","chest","body weight","UNCLEAR","false",""
"kneeling lat stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"lower back curl","back","body weight","UNCLEAR","false",""
"side lying floor stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"sphinx","back","body weight","UNCLEAR","false",""
"spine stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"standing pelvic tilt","back","body weight","REHAB/PREHAB","false","Contains: pelvic tilt"
"upper back stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"upward facing dog","back","body weight","UNCLEAR","false",""
"ankle circles","lower legs","body weight","REHAB/PREHAB","false","Contains: ankle circle"
"band two legs calf raise - (band under both legs) v. 2","lower legs","band","REHAB/PREHAB","true","Contains: calf raise | Complex name: v. 2"
"bodyweight standing calf raise","lower legs","body weight","REHAB/PREHAB","false","Contains: calf raise"
"calf stretch with hands against wall","lower legs","body weight","REHAB/PREHAB","true","Contains: stretch | Complex name: too many words"
"one leg donkey calf raise","lower legs","body weight","REHAB/PREHAB","false","Contains: calf raise"
"one leg floor calf raise","lower legs","body weight","REHAB/PREHAB","false","Contains: calf raise"
"seated calf stretch (male)","lower legs","body weight","REHAB/PREHAB","true","Contains: stretch | Complex name: (male)"
"standing calves","lower legs","body weight","UNCLEAR","false",""
"standing calves calf stretch","lower legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"bench dip on floor","upper arms","body weight","UNCLEAR","false",""
"muscle-up (on vertical bar)","back","body weight","FITNESS/HYPERTROPHY","false","Contains: muscle-up"
"neck side stretch","neck","body weight","REHAB/PREHAB","false","Contains: stretch, neck"
"back pec stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"calf push stretch with hands against wall","lower legs","body weight","REHAB/PREHAB","true","Contains: stretch | Complex name: too many words"
"band hip lift","upper legs","band","UNCLEAR","false",""
"hug knees to chest","upper legs","body weight","UNCLEAR","false",""
"iron cross stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"modified push up to lower arms","lower arms","body weight","UNCLEAR","true","Complex name: too many words"
"pelvic tilt into bridge","upper legs","body weight","REHAB/PREHAB","false","Contains: pelvic tilt, bridge"
"reverse hyper on flat bench","upper legs","body weight","UNCLEAR","false",""
"seated glute stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"straight leg outer hip abductor","upper legs","body weight","UNCLEAR","false",""
"wrist circles","lower arms","body weight","UNCLEAR","false",""
"walking lunge","upper legs","body weight","UNCLEAR","false",""
"twist hip lift","upper legs","body weight","UNCLEAR","false",""
"push-up on lower arms","upper arms","body weight","UNCLEAR","false",""
"crab twist toe touch","waist","body weight","UNCLEAR","false",""
"inchworm","waist","body weight","UNCLEAR","false",""
"one leg squat","upper legs","body weight","UNCLEAR","false",""
"sissy squat","upper legs","body weight","UNCLEAR","false",""
"standing calf raise (on a staircase)","lower legs","body weight","REHAB/PREHAB","true","Contains: calf raise | Complex name: too many words"
"butterfly yoga pose","upper legs","body weight","UNCLEAR","false",""
"oblique crunch v. 2","waist","body weight","UNCLEAR","true","Complex name: v. 2"
"hamstring stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch, hamstring"
"all fours squad stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"chair leg extended stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"leg up hamstring stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch, hamstring"
"runners stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"seated wide angle pose sequence","upper legs","body weight","UNCLEAR","false",""
"world greatest stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"squat to overhead reach","upper legs","body weight","UNCLEAR","false",""
"squat to overhead reach with twist","upper legs","body weight","UNCLEAR","true","Complex name: too many words"
"posterior step to overhead reach","waist","body weight","UNCLEAR","false",""
"lunge with twist","waist","body weight","UNCLEAR","false",""
"push and pull bodyweight","chest","body weight","UNCLEAR","false",""
"three bench dip","upper arms","body weight","UNCLEAR","false",""
"hanging oblique knee raise","waist","body weight","UNCLEAR","false",""
"hanging leg hip raise","waist","body weight","UNCLEAR","false",""
"self assisted inverse leg curl","upper legs","body weight","UNCLEAR","false",""
"bodyweight side lying biceps curl","upper arms","body weight","UNCLEAR","false",""
"biceps leg concentration curl","upper arms","body weight","UNCLEAR","false",""
"bodyweight kneeling triceps extension","upper arms","body weight","UNCLEAR","false",""
"elbow lift - reverse push-up","back","body weight","UNCLEAR","true","Complex name: - reverse"
"side bridge hip abduction","upper legs","body weight","REHAB/PREHAB","false","Contains: bridge"
"side plank hip adduction","upper legs","body weight","UNCLEAR","false",""
"left hook (boxing)","shoulders","body weight","UNCLEAR","false",""
"inverted row on bench","back","body weight","UNCLEAR","false",""
"inverted row bent knees","back","body weight","UNCLEAR","false",""
"lying elbow to knee","waist","body weight","UNCLEAR","false",""
"spine twist","waist","body weight","UNCLEAR","false",""
"arm slingers hanging straight legs","waist","body weight","UNCLEAR","false",""
"arm slingers hanging bent knee legs","waist","body weight","UNCLEAR","true","Complex name: too many words"
"wide-grip chest dip on high parallel bars","chest","body weight","UNCLEAR","true","Complex name: too many words"
"split squats","upper legs","body weight","UNCLEAR","false",""
"close-grip push-up (on knees)","upper arms","body weight","UNCLEAR","false",""
"frog crunch","waist","body weight","UNCLEAR","false",""
"chest dip on straight bar","chest","body weight","UNCLEAR","false",""
"bridge - mountain climber (cross body)","waist","body weight","REHAB/PREHAB","true","Contains: bridge | Complex name: too many words"
"seated piriformis stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"rocking frog stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"twisted leg raise (female)","waist","body weight","UNCLEAR","false",""
"twisted leg raise","waist","body weight","UNCLEAR","false",""
"captains chair straight leg raise","waist","body weight","UNCLEAR","false",""
"resistance band seated hip abduction","upper legs","resistance band","UNCLEAR","false",""
"resistance band leg extension","upper legs","resistance band","UNCLEAR","false",""
"incline scapula push up","chest","body weight","REHAB/PREHAB","false","Contains: scapula"
"scapula dips","back","body weight","REHAB/PREHAB","false","Contains: scapula"
"low glute bridge on floor","upper legs","body weight","REHAB/PREHAB","false","Contains: bridge"
"curl-up","waist","body weight","UNCLEAR","false",""
"scapula push-up","chest","body weight","REHAB/PREHAB","false","Contains: scapula"
"band fixed back underhand pulldown","back","band","UNCLEAR","false",""
"band fixed back close grip pulldown","back","band","UNCLEAR","true","Complex name: too many words"
"potty squat","waist","body weight","UNCLEAR","false",""
"resistance band seated shoulder press","shoulders","resistance band","UNCLEAR","false",""
"resistance band seated biceps curl","upper arms","resistance band","UNCLEAR","false",""
"resistance band seated chest press","chest","resistance band","UNCLEAR","false",""
"potty squat with support","upper legs","body weight","UNCLEAR","false",""
"resistance band seated straight back row","back","resistance band","UNCLEAR","true","Complex name: too many words"
"push-up plus","chest","body weight","UNCLEAR","false",""
"pelvic tilt","waist","body weight","REHAB/PREHAB","false","Contains: pelvic tilt"
"bodyweight standing close-grip row","back","body weight","UNCLEAR","false",""
"bodyweight standing row (with towel)","back","body weight","UNCLEAR","true","Complex name: (with towel)"
"bodyweight standing row","back","body weight","UNCLEAR","false",""
"bodyweight squatting row (with towel)","back","body weight","FITNESS/HYPERTROPHY","true","Contains: bodyweight squat | Complex name: (with towel)"
"bodyweight squatting row","back","body weight","FITNESS/HYPERTROPHY","false","Contains: bodyweight squat"
"glute-ham raise","upper legs","body weight","UNCLEAR","false",""
"quarter sit-up","waist","body weight","UNCLEAR","false",""
"half sit-up (male)","waist","body weight","UNCLEAR","true","Complex name: (male)"
"prisoner half sit-up (male)","waist","body weight","UNCLEAR","true","Complex name: (male)"
"arms overhead full sit-up (male)","waist","body weight","UNCLEAR","true","Complex name: (male)"
"kneeling push-up (male)","chest","body weight","UNCLEAR","true","Complex name: (male)"
"basic toe touch (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"side-to-side toe touch (male)","waist","body weight","UNCLEAR","true","Complex name: (male)"
"arms apart circular toe touch (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"hands reversed clasped circular toe touch (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"chest tap push-up (male)","chest","body weight","UNCLEAR","true","Complex name: (male)"
"modified hindu push-up (male)","chest","body weight","UNCLEAR","true","Complex name: (male)"
"hands clasped circular toe touch (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"half knee bends (male)","cardio","body weight","UNCLEAR","true","Complex name: (male)"
"two toe touch (male)","back","body weight","UNCLEAR","true","Complex name: (male)"
"resistance band hip thrusts on knees (female)","upper legs","resistance band","UNCLEAR","true","Complex name: too many words"
"kneeling plank tap shoulder (male)","waist","body weight","UNCLEAR","true","Complex name: (male)"
"elbow dips","upper arms","body weight","UNCLEAR","false",""
"korean dips","chest","body weight","UNCLEAR","false",""
"impossible dips","upper arms","body weight","UNCLEAR","false",""
"stalder press","upper arms","body weight","UNCLEAR","false",""
"elevator","back","body weight","UNCLEAR","false",""
"archer pull up","back","body weight","FITNESS/HYPERTROPHY","false","Contains: pull up, archer"
"archer push up","chest","body weight","FITNESS/HYPERTROPHY","false","Contains: archer"
"front lever reps","back","body weight","FITNESS/HYPERTROPHY","false","Contains: lever"
"front lever","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: lever"
"back lever","back","body weight","FITNESS/HYPERTROPHY","false","Contains: lever"
"straddle planche","waist","body weight","UNCLEAR","false",""
"full planche","waist","body weight","UNCLEAR","false",""
"lean planche","waist","body weight","UNCLEAR","false",""
"frog planche","waist","body weight","UNCLEAR","false",""
"flag","waist","body weight","UNCLEAR","false",""
"skin the cat","back","body weight","REHAB/PREHAB","false","Contains: cat"
"straddle maltese","waist","body weight","UNCLEAR","false",""
"full maltese","waist","body weight","UNCLEAR","false",""
"swing 360","cardio","body weight","UNCLEAR","false",""
"full planche push-up","chest","body weight","UNCLEAR","false",""
"bear crawl","cardio","body weight","UNCLEAR","false",""
"skater hops","cardio","body weight","UNCLEAR","false",""
"l-sit on floor","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: l-sit"
"v-sit on floor","waist","body weight","UNCLEAR","false",""
"swimmer kicks v. 2 (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male), v. 2"
"forward lunge (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"glute bridge two legs on bench (male)","upper legs","body weight","REHAB/PREHAB","true","Contains: bridge | Complex name: (male)"
"quads (bodyweight squat)","upper legs","body weight","FITNESS/HYPERTROPHY","false","Contains: bodyweight squat"
"bodyweight incline side plank","waist","body weight","UNCLEAR","false",""
"quick feet v. 2","upper legs","body weight","UNCLEAR","true","Complex name: v. 2"
"glute bridge march","upper legs","body weight","REHAB/PREHAB","false","Contains: bridge"
"high knee against wall","cardio","body weight","UNCLEAR","false",""
"wheel run","cardio","body weight","UNCLEAR","false",""
"push to run","cardio","body weight","UNCLEAR","false",""
"bent knee lying twist (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"knee touch crunch","waist","body weight","UNCLEAR","false",""
"single leg bridge with outstretched leg","upper legs","body weight","REHAB/PREHAB","true","Contains: stretch, bridge | Complex name: too many words"
"walking high knees lunge","cardio","body weight","FITNESS/HYPERTROPHY","false","Contains: high knees"
"short stride run","cardio","body weight","UNCLEAR","false",""
"pike-to-cobra push-up","upper legs","body weight","UNCLEAR","false",""
"reverse plank with leg lift","waist","body weight","UNCLEAR","false",""
"power point plank","waist","body weight","UNCLEAR","false",""
"side lying hip adduction (male)","upper legs","body weight","UNCLEAR","true","Complex name: (male)"
"standing archer","back","body weight","FITNESS/HYPERTROPHY","false","Contains: archer"
"ski step","cardio","body weight","UNCLEAR","false",""
"back and forth step","cardio","body weight","UNCLEAR","false",""
"sit-up with arms on chest","waist","body weight","UNCLEAR","false",""
"inchworm v. 2","waist","body weight","UNCLEAR","true","Complex name: v. 2"
"shoulder tap","waist","body weight","UNCLEAR","false",""
"curtsey squat","upper legs","body weight","UNCLEAR","false",""
"incline push-up (on box)","chest","body weight","UNCLEAR","false",""
